observed_on,season_start,latitude,longitude,phenophase,t_base,gdd_cumulative,species
2025-07-25,2025-05-26,49.2342716667,4.0250555,fruiting,5,872.3626571655287,Ailanthus_altissima
2025-07-24,2025-05-26,38.7626022351,-93.7492896616,fruiting,5,1204.2953643798833,Ailanthus_altissima
2025-07-16,2025-05-26,41.9235657935,19.201113895,fruiting,5,,Ailanthus_altissima
2025-07-16,2025-05-26,41.9252600224,19.2038135206,fruiting,5,,Ailanthus_altissima
2025-07-24,2025-05-26,39.6401238721,-75.690695364,fruiting,5,1151.1996154785163,Ailanthus_altissima
2025-07-24,2025-05-26,50.1298,14.4913466667,fruiting,5,862.1401901245131,Ailanthus_altissima
2025-07-24,2025-05-26,51.3404261,12.3325237,fruiting,5,859.1464691162123,Ailanthus_altissima
2025-07-24,2025-05-26,51.3425025,12.3329331,fruiting,5,859.1464691162123,Ailanthus_altissima
2025-07-24,2025-05-26,51.32003215,12.3536508,fruiting,5,859.061920166017,Ailanthus_altissima
2025-07-17,2025-05-26,42.3581838623,-71.4679897163,fruiting,5,867.2030838012707,Ailanthus_altissima
2025-07-24,2025-05-26,49.0069,33.6263283333,fruiting,5,966.8609008789076,Ailanthus_altissima
2025-07-23,2025-05-26,38.5203783333,-121.9682916667,fruiting,5,1083.1759170532237,Ailanthus_altissima
2025-07-23,2025-05-26,42.2724027778,-71.8560972222,fruiting,5,930.4190353393568,Ailanthus_altissima
2025-07-23,2025-05-26,43.6045170297,-116.1957856268,fruiting,5,1058.0941986084,Ailanthus_altissima
2025-07-23,2025-05-26,50.73610649,7.1060228,fruiting,5,829.2229904174818,Ailanthus_altissima
2025-07-21,2025-05-26,37.1069833951,-93.3980181625,fruiting,5,1097.3134338378918,Ailanthus_altissima
2025-07-09,2025-05-26,45.3453029,34.4997274,fruiting,5,747.6791915893565,Ailanthus_altissima
2025-07-22,2025-05-26,42.4119111111,-71.2328222222,fruiting,5,952.507916259767,Ailanthus_altissima
2025-07-22,2025-05-26,42.0158143997,-83.9337574997,fruiting,5,979.5062759399428,Ailanthus_altissima
2025-07-22,2025-05-26,52.2412550035,21.0992361667,fruiting,5,784.3665435791029,Ailanthus_altissima
2025-07-22,2025-05-26,51.2531471252,-0.5413841009,fruiting,5,760.4585693359388,Ailanthus_altissima
2025-07-22,2025-05-26,40.9580261931,-75.0257120813,fruiting,5,974.0588500976576,Ailanthus_altissima
2025-07-08,2025-05-26,52.0254454003,12.027971372,flowering,5,620.5780319213877,Ailanthus_altissima
2025-07-22,2025-05-26,51.3272308,12.3369421,fruiting,5,829.9127395629896,Ailanthus_altissima
2025-07-21,2025-05-26,42.8408638889,-78.8515111111,fruiting,5,897.467990112306,Ailanthus_altissima
2025-07-02,2025-05-26,38.6799083333,-84.5919966667,fruiting,5,671.8062942504891,Ailanthus_altissima
2025-07-21,2025-05-26,51.3329591,12.34235153,fruiting,5,815.329318237306,Ailanthus_altissima
2025-07-21,2025-05-26,51.33900497,12.32980036,fruiting,5,815.329318237306,Ailanthus_altissima
2025-07-20,2025-05-26,42.5611633333,42.8619633333,fruiting,5,686.7726455688489,Ailanthus_altissima
2025-07-21,2025-05-26,45.7651071585,3.1092380839,fruiting,5,830.6382553100599,Ailanthus_altissima
2025-07-20,2025-05-26,51.3515886,12.2998255,fruiting,5,801.6830001831067,Ailanthus_altissima
2025-07-20,2025-05-26,51.3455438,12.3703834,fruiting,5,801.6677871704114,Ailanthus_altissima
2025-07-20,2025-05-26,51.35291368,12.30367202,fruiting,5,800.9643875122083,Ailanthus_altissima
2025-07-20,2025-05-26,51.34583678,12.31811566,fruiting,5,801.6830001831067,Ailanthus_altissima
2025-07-19,2025-05-26,51.19863,6.46067,fruiting,5,770.0631256103528,Ailanthus_altissima
2025-07-19,2025-05-26,50.7443505201,-120.358519753,fruiting,5,797.0743637084973,Ailanthus_altissima
2025-07-19,2025-05-26,43.1933157975,-77.5130725999,fruiting,5,860.3570556640638,Ailanthus_altissima
2025-07-08,2025-05-26,43.1903660638,17.6799382262,fruiting,5,801.8397277832041,Ailanthus_altissima
2025-07-19,2025-05-26,51.33687026,12.40863308,fruiting,5,783.5272521972669,Ailanthus_altissima
2025-07-19,2025-05-26,51.3433836,12.3937885,fruiting,5,783.5272521972669,Ailanthus_altissima
2025-07-19,2025-05-26,51.34453425,12.3876949,fruiting,5,783.5272521972669,Ailanthus_altissima
2025-07-19,2025-05-26,51.3294914,12.3463863,fruiting,5,783.6528167724622,Ailanthus_altissima
2025-07-19,2025-05-26,38.7013999749,-9.1994907707,fruiting,5,903.6987228393568,Ailanthus_altissima
2025-07-18,2025-05-26,43.2366255485,-77.6162417282,fruiting,5,846.8329376220715,Ailanthus_altissima
2025-07-18,2025-05-26,40.9539083333,-73.7039333333,fruiting,5,948.2790512084972,Ailanthus_altissima
2025-07-18,2025-05-26,42.8690681458,-76.982925415,fruiting,5,881.1712631225598,Ailanthus_altissima
2025-07-18,2025-05-26,42.3406377669,-71.1287007841,flowering,5,876.010061645509,Ailanthus_altissima
2025-07-18,2025-05-26,51.3471609,12.4009485,fruiting,5,766.8888153076184,Ailanthus_altissima
2025-07-18,2025-05-26,51.3473294,12.3961861,fruiting,5,766.8888153076184,Ailanthus_altissima
2025-07-18,2025-05-26,51.3480678,12.3992341,fruiting,5,766.8888153076184,Ailanthus_altissima
2025-07-18,2025-05-26,51.3467116,12.3971186,fruiting,5,766.8888153076184,Ailanthus_altissima
2025-07-18,2025-05-26,51.3440314,12.401968,fruiting,5,766.8888153076184,Ailanthus_altissima
2025-07-18,2025-05-26,51.3435185,12.4062544,fruiting,5,766.8888153076184,Ailanthus_altissima
2025-07-18,2025-05-26,51.34396842,12.40665249,fruiting,5,766.8888153076184,Ailanthus_altissima
2025-07-18,2025-05-26,51.34382099,12.40842014,fruiting,5,766.8888153076184,Ailanthus_altissima
2025-07-18,2025-05-26,37.6399527778,120.4541333333,fruiting,5,1092.8410858154307,Ailanthus_altissima
2025-07-16,2025-05-26,42.7049369722,23.3294105278,fruiting,5,812.0755035400402,Ailanthus_altissima
2025-07-03,2025-05-26,37.3447588458,23.4619889264,fruiting,5,,Ailanthus_altissima
2025-07-17,2025-05-26,51.346895,12.4111454,fruiting,5,752.3359039306653,Ailanthus_altissima
2025-07-17,2025-05-26,51.33914617,12.39457023,fruiting,5,752.3359039306653,Ailanthus_altissima
2025-07-16,2025-05-26,37.81947,12.79965,fruiting,5,1038.394061279298,Ailanthus_altissima
2025-07-16,2025-05-26,43.1759796071,-77.5271740788,fruiting,5,807.0482894897473,Ailanthus_altissima
2025-07-16,2025-05-26,41.3188338,19.8311632,fruiting,5,954.314700317384,Ailanthus_altissima
2025-07-15,2025-05-26,51.33585359,12.3266665,fruiting,5,728.639146423341,Ailanthus_altissima
2025-07-16,2025-05-26,45.4874616667,9.09387,fruiting,5,968.8049728393568,Ailanthus_altissima
2025-07-15,2025-05-26,43.1933040393,-77.5130170652,fruiting,5,786.0225387573254,Ailanthus_altissima
2025-07-15,2025-05-26,42.0855061617,-72.5187832829,fruiting,5,812.3514877319348,Ailanthus_altissima
2025-07-14,2025-05-26,45.4729416667,-122.6525283333,fruiting,5,731.9939270019543,Ailanthus_altissima
2025-07-06,2025-05-26,46.4940333333,11.3505883333,fruiting,5,581.1136581420908,Ailanthus_altissima
2025-07-15,2025-05-26,40.9703606638,-76.8843535233,fruiting,5,825.8556457519543,Ailanthus_altissima
2025-07-15,2025-05-26,40.44036564,-80.02213791,fruiting,5,873.4603973388683,Ailanthus_altissima
2025-07-15,2025-05-26,42.4987019727,-71.1408262325,fruiting,5,804.8840576171887,Ailanthus_altissima
2025-07-15,2025-05-26,51.3291412,12.3322686,fruiting,5,728.639146423341,Ailanthus_altissima
2025-07-14,2025-05-26,48.0524061611,20.357078025,fruiting,5,708.0637893676769,Ailanthus_altissima
2025-07-14,2025-05-26,41.4784045167,14.476628378,fruiting,5,753.5258102417004,Ailanthus_altissima
2025-07-14,2025-05-26,40.90968,-73.765655,fruiting,5,,Ailanthus_altissima
2025-07-14,2025-05-26,37.7844333333,14.5980583333,fruiting,5,801.659393310548,Ailanthus_altissima
2025-07-11,2025-05-26,38.0279972222,14.0299083333,fruiting,5,852.9524642944347,Ailanthus_altissima
2025-07-13,2025-05-26,46.30847686,-119.26283834,fruiting,5,1007.7423995971692,Ailanthus_altissima
2025-06-19,2025-05-26,40.3177253699,-3.5032935441,fruiting,5,482.236190795899,Ailanthus_altissima
2025-07-05,2025-05-26,38.6348265772,-121.2232775785,fruiting,5,765.5451293945322,Ailanthus_altissima
2025-07-09,2025-05-26,41.2330527778,-73.1087111111,fruiting,5,721.884017944337,Ailanthus_altissima
2025-07-12,2025-05-26,41.4847678692,14.4681606442,fruiting,5,722.0321166992198,Ailanthus_altissima
2025-07-12,2025-05-26,41.4795112534,14.4781864062,fruiting,5,722.0321166992198,Ailanthus_altissima
2025-07-12,2025-05-26,41.5451695,1.8913371,fruiting,5,882.4636657714855,Ailanthus_altissima
2025-07-11,2025-05-26,40.9758146974,-81.3093284735,fruiting,5,788.067645263673,Ailanthus_altissima
2025-07-11,2025-05-26,42.229402818,-71.1740891456,fruiting,5,747.1290161132823,Ailanthus_altissima
2025-07-11,2025-05-26,45.0961945,7.5755783333,fruiting,5,791.7049133300792,Ailanthus_altissima
2025-07-11,2025-05-26,42.3973805556,-71.1432944444,fruiting,5,742.6359893798839,Ailanthus_altissima
2025-07-11,2025-05-26,41.3964198344,14.1035201959,fruiting,5,843.9868118286143,Ailanthus_altissima
2025-07-08,2025-05-26,44.0623278543,10.018986091,fruiting,5,786.1253646850596,Ailanthus_altissima
2025-07-10,2025-05-26,45.816864,16.0114115,fruiting,5,779.5276504516612,Ailanthus_altissima
2025-07-09,2025-05-26,45.0336888333,7.6116716667,fruiting,5,762.0246963500987,Ailanthus_altissima
2025-07-09,2025-05-26,43.5674880173,13.5731892447,fruiting,5,,Ailanthus_altissima
2025-07-09,2025-05-26,38.0353305556,14.0212527778,fruiting,5,817.7522811889659,Ailanthus_altissima
2025-07-09,2025-05-26,51.3256915,12.32742101,fruiting,5,644.7216339111338,Ailanthus_altissima
2025-07-06,2025-05-26,41.5526805556,-73.064275,flowering,5,630.9888870239267,Ailanthus_altissima
2025-07-06,2025-05-26,51.33655827,12.32851645,fruiting,5,605.4903289794931,Ailanthus_altissima
2025-07-06,2025-05-26,51.3366493447,12.3249227554,fruiting,5,605.4903289794931,Ailanthus_altissima
2025-07-06,2025-05-26,49.9689751502,7.9062467821,fruiting,5,602.0272628784189,Ailanthus_altissima
2025-07-05,2025-05-26,42.2445112997,-71.8331988997,fruiting,5,612.1472106933603,Ailanthus_altissima
2025-06-21,2025-05-26,41.1869199061,13.825101298,fruiting,5,448.5718795776373,Ailanthus_altissima
2025-07-04,2025-05-26,42.34651723,-71.24148475,fruiting,5,615.2921600341806,Ailanthus_altissima
2025-07-03,2025-05-26,50.8103836428,4.4287300827,fruiting,5,531.9659942626962,Ailanthus_altissima
2025-07-02,2025-05-26,45.5793956188,11.4555349984,fruiting,5,685.087643432618,Ailanthus_altissima
2025-07-03,2025-05-26,43.8222698076,7.7666808665,fruiting,5,680.056898498536,Ailanthus_altissima
2025-07-02,2025-05-26,40.908225,-73.8559333333,fruiting,5,631.1686904907235,Ailanthus_altissima
2025-06-28,2025-05-26,42.3812944444,-71.0868138889,fruiting,5,494.22335662841874,Ailanthus_altissima
2025-06-28,2025-05-26,42.7393817542,-71.3021402833,flowering,5,496.0996383667,Ailanthus_altissima
2025-06-29,2025-05-26,42.3359116667,-71.140275,fruiting,5,511.1402359008797,Ailanthus_altissima
2025-06-29,2025-05-26,38.70148652,-9.19961471,fruiting,5,560.6445617675789,Ailanthus_altissima
2025-06-29,2025-05-26,37.4800435766,14.0561019257,flowering,5,635.6775970458992,Ailanthus_altissima
