State_Name,Crop_Year,Season,Crop,Area,Production,Yeild,Rainfall
andaman and nicobar islands,2001,whole year,Coconut ,7015.0,25250000.0,3599.429793300071,3080.9
andaman and nicobar islands,2001,whole year,Dry ginger,344.0,1124.0,3.2674418604651163,3080.9
andaman and nicobar islands,2001,whole year,Sugarcane,81.0,2379.0,29.37037037037037,3080.9
andaman and nicobar islands,2001,whole year,Sweet potato,100.0,5.0,0.05,3080.9
andaman and nicobar islands,2006,kharif,Rice,6854.3,18995.62,2.771343536174372,1314.9
andaman and nicobar islands,2006,whole year,Arecanut,1160.0,3011.7,2.596293103448276,2404.7
andaman and nicobar islands,2006,whole year,Banana,957.57,8582.0,8.962269076934323,2404.7
andaman and nicobar islands,2006,whole year,Black pepper,175.0,191.14,1.0922285714285713,2404.7
andaman and nicobar islands,2006,whole year,Cashewnut,40.5,44.0,1.0864197530864197,2404.7
andaman and nicobar islands,2006,whole year,Coconut ,3575.0,15400000.0,4307.692307692308,2404.7
andaman and nicobar islands,2006,whole year,Dry chillies,235.72,824.3,3.4969455285932463,2404.7
andaman and nicobar islands,2006,whole year,Dry ginger,98.66,929.0,9.416176768700588,2404.7
andaman and nicobar islands,2006,whole year,Sugarcane,71.3,1500.0,21.03786816269285,2404.7
andaman and nicobar islands,2006,whole year,Sweet potato,30.0,240.0,8.0,2404.7
andaman and nicobar islands,2006,whole year,Tapioca,255.0,1420.0,5.568627450980392,2404.7
andaman and nicobar islands,2006,whole year,Turmeric,68.0,408.0,6.0,2404.7
andaman and nicobar islands,2010,autumn,Rice,6791.0,20118.0,2.9624503018701223,335.45
andaman and nicobar islands,2010,autumn,Sugarcane,73.33,889.2,12.126005727533071,335.45
andaman and nicobar islands,2010,rabi,Arecanut,1296.0,2290.0,1.7669753086419753,917.3
andaman and nicobar islands,2010,rabi,Arhar/Tur,294.5,90.8,0.30831918505942274,917.3
andaman and nicobar islands,2010,rabi,Black pepper,168.0,13.5,0.08035714285714286,917.3
andaman and nicobar islands,2010,rabi,Cashewnut,84.5,39.0,0.46153846153846156,917.3
andaman and nicobar islands,2010,rabi,Dry chillies,254.0,402.0,1.5826771653543308,917.3
andaman and nicobar islands,2010,rabi,Dry ginger,110.0,1011.84,9.198545454545455,917.3
andaman and nicobar islands,2010,rabi,Groundnut,4.75,6.8,1.431578947368421,917.3
andaman and nicobar islands,2010,rabi,Maize,86.7,96.4,1.1118800461361016,917.3
andaman and nicobar islands,2010,rabi,Moong(Green Gram),1168.6,556.55,0.47625363683039534,917.3
andaman and nicobar islands,2010,rabi,Sunflower,2.9,1.9,0.6551724137931034,917.3
andaman and nicobar islands,2010,rabi,Sweet potato,109.0,480.0,4.4036697247706424,917.3
